r,l,t
-99,2,5207.01618
-100,1,5210.851918
-9,7,5225.539914
-100,1,5229.580455
-95,3,5237.296237
-70,5,5248.643484
-99,2,5254.523516
-99,2,5260.348493
-99,2,5266.187224
-100,1,5270.105742
-99,2,5275.879544
-95,3,5283.626912
-100,1,5287.549292
-70,5,5298.752844
-70,5,5310.072558
-95,3,5317.447535
-95,3,5325.028406
-100,1,5329.088034
-100,1,5332.887955
-100,1,5336.736188
-100,1,5340.768575
-95,3,5350.627977
-95,3,5358.3095
-86,4,5367.89082
-86,4,5377.4336
-95,7,5392.541181
-45,6,5405.671261
-99,2,5411.412378
-100,1,5415.398524
-120,6,5428.694041
-100,1,5432.870527
-95,3,5440.95568
-86,4,5450.437365
-100,1,5454.302884
-99,2,5460.305806
-100,1,5464.27425
-99,2,5470.110995
40,8,5486.685438
40,8,5503.05834
-99,2,5508.825317
-86,4,5518.450316
-9,7,5533.303772
-95,3,5540.957824
-100,1,5544.906336
-70,5,5556.324613
-45,6,5569.279766
-45,6,5582.482835
-99,2,5587.942533
-86,4,5597.595359
-99,2,5603.247439
-86,4,5612.924877
-70,5,5624.042047
-70,5,5635.564557
-99,2,5641.417626
-45,6,5654.861785
-95,3,5662.49162
-100,1,5666.3732
-99,2,5671.941636
-95,3,5679.327897
-149,3,5687.124611
-136,5,5698.868482
-95,3,5706.801307
-120,6,5720.162046
-70,5,5731.671269
-86,4,5741.309326
-95,3,5748.924672
-100,1,5752.852003
-9,7,5767.612748
-99,2,5773.639187
-70,5,5784.587253
-100,1,5788.391114
-136,5,5799.899739
-99,2,5805.727764
-59,8,5822.25432
-199,4,5832.122915
-45,6,5845.584048
-70,5,5856.756272
-99,2,5862.891336
-86,4,5872.633611
-145,4,5882.258675
-86,4,5891.912144
-99,2,5897.967205
-100,1,5901.83245
-100,1,5905.888146
-100,1,5909.893904
-99,2,5915.495633
-99,2,5921.431241
-136,5,5932.80186
-145,4,5942.422469
-145,4,5951.868131
-9,7,5966.611
-95,3,5974.498644
-145,4,5984.292203
-95,3,5992.209193
-70,5,6003.473731
-99,2,6009.09318
-100,1,6013.097325
-95,3,6020.765575
-120,6,6033.969094
-100,1,6037.843718
-59,8,6054.689657
-99,2,6060.592179
-100,1,6064.571325
-95,3,6072.239123
-95,7,6087.081851
-149,3,6094.877904
-100,1,6098.746252
-95,3,6106.393397
-100,1,6110.216
-86,4,6119.618337
-86,4,6129.244199
-45,6,6142.068422
-100,1,6145.956076
-45,6,6158.958901
-100,1,6162.88372
-100,1,6166.894034
-9,7,6181.752121
-95,7,6196.549064
-99,2,6202.401422
-99,2,6208.175764
-99,2,6213.667885
-70,5,6225.001278
-95,3,6232.878195
-99,2,6238.438373
-70,5,6249.891814
-99,2,6255.788834
-100,1,6259.664852
-86,4,6269.090107
-95,3,6276.742359
-120,6,6289.526123
-70,5,6301.050663
-100,1,6304.931702
-95,3,6312.800236
-9,7,6327.359349
-45,6,6340.313998
-99,2,6346.190826
-95,7,6361.162119
-109,9,6379.035189
-99,2,6384.791822
-86,4,6394.219492
-95,3,6401.829106
-100,1,6405.927622
-100,1,6409.767433
-86,4,6419.169382
-99,2,6424.970574
-86,4,6434.665791
-95,3,6442.620997
-100,1,6446.485553
-100,1,6450.330906
-99,2,6456.351834
185,10,6475.421407
-99,2,6481.221313
-100,1,6485.186451
-100,1,6489.110707
-45,6,6502.379687
-145,4,6511.998555
-86,4,6521.680176
-70,5,6533.336923
-100,1,6537.281385
-95,3,6545.131914
-70,5,6556.297421
-95,3,6563.907735
40,8,6580.57831
-95,3,6588.466406
-100,1,6592.664537
-45,6,6605.53815
-95,3,6613.493525
-86,4,6623.27678
-100,1,6627.212916
-99,2,6632.960607
-86,4,6642.488442
-150,2,6648.199923
-99,2,6653.715848
-100,1,6657.624037
-100,1,6661.596019
-70,5,6672.850679
-99,2,6678.395094
-145,4,6687.991337
-99,2,6693.821756
-99,2,6699.73389
-86,4,6709.33212
-45,6,6722.383062
-86,4,6732.203695
-86,4,6741.917529
-70,5,6753.268324
-99,2,6758.554264
-145,4,6768.136148
-99,2,6773.693227
-70,5,6784.762776
-100,1,6788.801289
-99,2,6794.45854
-99,2,6800.251547
-99,2,6806.19019
-100,1,6809.996247
-86,4,6819.710269
-70,5,6830.933144
-95,3,6838.79075
-45,6,6852.015776
-100,1,6855.879662
-99,2,6861.511504
-100,1,6865.561833
-86,4,6875.042029
-100,1,6879.028772
-95,3,6886.518789
-100,1,6890.499412
-86,4,6899.91629
-95,3,6907.392465
-99,2,6913.037606
-86,4,6922.725598
-100,1,6926.826672
-86,4,6936.298307
-100,1,6940.331341
-100,1,6944.230409
-86,4,6953.56229
-100,1,6957.666187
-99,2,6963.198036
-95,3,6971.008675
-120,6,6984.506582
-100,1,6988.562065
-100,1,6992.47777
-45,6,7005.743418
-136,5,7017.154927
-136,5,7028.612071
-70,5,7040.091868
-95,3,7048.014023
-45,6,7061.153034
-100,1,7065.074461
-86,4,7074.501227
-100,1,7078.323503
-86,4,7088.121997
40,8,7104.63017
-100,1,7108.6011
-99,2,7114.31354
-86,4,7123.917691
-100,1,7127.793667
-95,3,7135.619847
-70,5,7147.307932
-99,2,7153.109452
-70,5,7164.480736
-99,2,7170.254521
-99,2,7175.821098
-99,2,7181.911572
-100,1,7185.757579
-99,2,7191.916821
-45,6,7204.886773
-136,5,7216.476255
-136,5,7228.049529
-86,4,7237.957497
-100,1,7241.921591
-86,4,7251.395545
-99,2,7257.172873
-186,6,7270.538111
-99,2,7276.716192
-95,3,7284.594278
-99,2,7290.543189
-145,4,7300.157644
-95,3,7308.223573
-99,2,7314.201374
-45,6,7327.103951
-95,3,7334.784806
-9,7,7349.615236
-136,5,7361.186587
-59,8,7378.377177
-99,2,7384.274964
-136,5,7395.519019
-99,2,7401.192329
40,8,7417.503085
-70,5,7428.697683
-136,5,7439.864721
-86,4,7449.349253
-100,1,7453.267669
-45,6,7467.522306
-99,2,7473.553186
-95,3,7481.027318
-120,6,7494.218677
-45,6,7507.478491
-86,4,7516.822615
-99,2,7522.665712
-86,4,7532.416367
-99,2,7538.009681
-9,7,7552.449328
-95,3,7560.339609
-99,2,7566.143214
-59,8,7582.184044
-95,3,7589.808917
-86,4,7599.241277
-136,5,7610.38884
-99,2,7616.25596
-99,2,7622.096746
-45,6,7635.114304
-145,8,7651.630698
-99,2,7657.116055
-136,5,7668.956576
-100,1,7672.786503
-100,1,7676.629426
-100,1,7680.594723
-100,1,7684.485708
-9,7,7699.412336
-99,2,7705.249496
-70,5,7716.558398
-100,1,7720.559077
-100,1,7724.529887
-100,1,7728.650622
-100,1,7732.642417
-59,8,7749.383412
-100,1,7753.52729
-149,3,7761.400839
-95,3,7769.438734
-86,4,7778.662013
-100,1,7782.608184
-100,1,7786.504328
-100,1,7790.314567
-59,8,7806.82723
-95,3,7814.475365
-86,4,7823.85692
-86,4,7833.370502
-45,6,7846.455471
-95,3,7854.184391
-100,1,7858.134217
-99,2,7863.955389
-99,2,7869.908251
-99,2,7875.726252
-95,3,7883.544693
-99,2,7889.346441
-99,2,7895.28499
-95,3,7902.93551
-86,4,7912.602397
-99,2,7918.417457
-100,1,7922.256462
-95,3,7929.731639
-45,6,7942.760289
-45,6,7956.094691
-100,1,7960.097527
-99,2,7965.691474
-70,5,7977.199862
-95,3,7985.03288
-100,1,7988.826267
-86,4,7998.066667
-45,6,8011.260049
-95,3,8019.065103
-95,3,8026.794486
-86,4,8036.15341
-100,1,8040.177374
-95,7,8054.55393
-70,5,8065.934842
-95,3,8073.786065
-99,2,8079.596229
-95,3,8087.224768
-100,1,8091.109793
-150,2,8097.024081
-70,5,8108.308414
-9,7,8123.171467
-100,1,8127.187124
-86,4,8136.737316
-100,1,8140.568472
-9,7,8155.509661
-95,3,8163.372683
-95,3,8170.996026
-86,4,8180.970961
-95,3,8188.641222
-99,2,8194.440799
-45,6,8207.699404
-99,2,8213.867548
-100,1,8217.880353
-95,3,8225.366107
-150,2,8231.221106
-86,4,8240.714986
-100,1,8244.603522
-99,2,8250.094861
-70,5,8261.390505
-95,3,8269.232866
-100,1,8273.086757
-249,5,8284.745082
-100,1,8288.56102
-70,5,8299.612981
-95,3,8307.312636
-95,3,8315.072494
-86,4,8324.707337
-95,3,8332.623494
-95,3,8340.286606
-70,5,8351.905801
104,9,8369.871103
-86,4,8379.483381
-95,3,8387.069328
-99,2,8392.914439
-136,5,8404.253866
-120,6,8417.597616
-170,7,8432.467982
-70,5,8443.790391
-86,4,8453.501653
-95,3,8461.070883
-70,5,8472.176694
-149,3,8480.201189
-10,9,8498.477531
-45,6,8511.870412
-100,1,8515.915134
-100,1,8519.889038
-45,6,8532.874951
-99,2,8538.467716
-95,3,8546.327457
-86,4,8556.063552
-99,2,8561.634255
-99,2,8567.421524
-136,5,8578.565431
-86,4,8587.892744
-45,6,8600.591308
-99,2,8606.402201
-9,7,8621.217126
-95,3,8629.087804
-99,2,8634.94942
-95,3,8642.625546
-86,4,8651.804031
-99,2,8657.224655
-99,2,8662.963246
-136,5,8675.226204
-95,3,8682.98712
-86,4,8692.32649
-86,4,8701.7679
-95,3,8709.534465
-120,6,8722.975172
-99,2,8728.69051
-136,5,8740.05311
-9,7,8755.070978
