r,l,t
-86,4,7792.913157
-99,2,7800.027075
-95,3,7809.128073
-136,5,7822.781399
-99,2,7829.648775
-136,5,7843.979599
-70,5,7857.582598
-136,5,7871.204521
-86,4,7882.538738
-99,2,7889.473243
-100,1,7894.639552
-100,1,7899.684451
-95,3,7909.293407
-100,1,7914.313656
-70,5,7927.904596
-95,3,7937.42502
-95,3,7946.682592
-95,3,7956.221319
-86,4,7967.397361
-95,3,7976.049175
-99,2,7983.302993
-45,6,7999.025041
-45,6,8014.282555
-70,5,8027.35465
-100,1,8032.474688
-100,1,8037.558498
-100,1,8042.322362
-100,1,8047.113678
-95,3,8055.974577
-45,6,8071.500544
-99,2,8079.180151
-70,5,8093.750007
-145,4,8105.639763
-100,1,8111.059282
-100,1,8116.191055
-95,7,8133.558034
-95,3,8143.17797
-99,2,8150.553943
-95,3,8159.892114
-86,4,8171.191308
-9,7,8188.919206
-100,1,8194.12366
-149,3,8204.073348
-100,1,8208.852198
-100,1,8214.01263
-149,3,8224.213864
-95,3,9295.000701
-95,3,9304.678324
-100,1,9310.086094
-99,2,9319.411485
-100,1,9325.832447
-99,2,9335.025761
-100,1,9342.33077
-100,1,9348.128173
-86,4,9361.027843
-95,3,9371.364918
-86,4,9384.225256
-150,2,9392.599232
-99,2,9400.643742
-99,2,9407.758366
-99,2,9417.152289
-100,1,9424.02384
-99,2,9432.663233
-99,2,9440.580038
-99,2,9447.977728
-100,1,9453.73138
-100,1,9461.073874
-86,4,9472.902706
-145,8,9494.111837
-86,4,9506.952258
-95,3,9517.434871
-99,2,9524.987725
-145,4,9538.813237
-86,4,9552.123342
-100,1,9559.457023
-100,1,9565.763284
-95,3,9577.014289
-99,2,9585.866321
-99,2,9594.316683
-150,2,9602.545756
-99,2,9611.47924
-150,2,9621.119464
-95,3,9634.382043
-100,1,9640.863522
-99,2,9653.19281
-100,1,9662.438409
-99,2,9675.864801
-86,4,9700.113623
104,9,9741.627258
-86,4,9762.812573
-100,1,9770.689
-86,4,9787.805965
-95,3,9801.070972
-45,6,9821.687748
-86,4,9837.470319
-100,1,9843.674933
-99,2,9852.748586
-100,1,9859.349987
